Time,Open,High,Low,Latest,Change,%Change,Volume
8/5/24,421.8374,439.2985,420.586,432.4253,-13.2895,-2.98%,88079138
8/6/24,434.2727,444.0462,431.6208,436.5572,4.1319,0.96%,63594529
8/7/24,443.4701,445.9631,431.4321,431.8294,-4.7278,-1.08%,55303142
8/8/24,438.0768,445.9532,434.1933,445.0394,13.21,3.06%,48216121
8/9/24,443.7184,449.0024,442.596,447.3636,2.3242,0.52%,33802528
8/12/24,448.337,451.2968,445.5207,448.327,0.9634,0.22%,27984278
8/13/24,452.737,459.7194,452.5979,459.4513,11.1243,2.48%,40357361
8/14/24,460.375,461.9635,455.2996,459.6003,0.149,0.03%,34970222
8/15/24,465.5895,471.6085,465.2121,471.2112,11.6109,2.53%,38541178
8/16/24,469.4234,473.1877,468.4599,471.8171,0.6059,0.13%,38644979
8/19/24,471.9561,478.0546,470.1683,478.0149,6.1978,1.31%,23899244
8/20/24,477.1011,479.6736,475.3133,477.0117,-1.0032,-0.21%,29408207
8/21/24,477.7964,481.0939,476.0781,479.2365,2.2248,0.47%,25833429
8/22/24,481.5607,482.256,470.6053,471.6383,-7.5982,-1.59%,37996494
8/23/24,475.9986,479.4749,472.0654,476.7534,5.1151,1.08%,36307072
8/26/24,476.2072,477.1309,470.0391,472.125,-4.6284,-0.97%,27639541
8/27/24,470.4861,474.6081,468.5195,473.5354,1.4104,0.30%,27697332
8/28/24,473.0686,473.7936,464.7254,468.162,-5.3734,-1.13%,37626892
8/29/24,470.0789,474.6974,466.1974,467.4766,-0.6854,-0.15%,41361157
8/30/24,471.827,473.6744,467.3277,473.0487,5.5721,1.19%,33694294
9/3/24,469.9994,470.1286,456.3028,458.6865,-14.3622,-3.04%,45291534
9/4/24,455.5677,461.3086,454.6341,457.4946,-1.1919,-0.26%,32726448
9/5/24,455.8657,462.2125,454.8417,457.9217,0.4271,0.09%,34686910
9/6/24,457.2165,458.1005,445.1586,445.6552,-12.2665,-2.68%,50969038
9/9/24,449.9957,452.3794,446.7809,451.3862,5.731,1.29%,33205689
9/10/24,453.1541,456.0644,449.1713,455.5578,4.1716,0.92%,29882413
9/11/24,456.7993,466.1953,448.2277,465.4504,9.8926,2.17%,58236792
9/12/24,465.4802,470.8338,463.6915,470.0193,4.5689,0.98%,40448985
9/13/24,469.2843,473.3069,469.0559,472.125,2.1057,0.45%,29310041
9/16/24,469.9895,470.6549,466.7118,470.0391,-2.0859,-0.44%,22739303
9/17/24,473.0686,474.3697,467.7845,470.2875,0.2484,0.05%,30289263
9/18/24,471.4893,475.5914,467.6455,468.2513,-2.0362,-0.43%,40180973
9/19/24,479.3458,482.9413,477.2401,480.0907,11.8394,2.53%,53141932
9/20/24,479.2266,480.4185,475.0649,479.1769,-0.9138,-0.19%,34813066
9/23/24,480.3576,481.5412,479.0148,480.4471,1.2702,0.27%,24976973
